Florida 9th District,U.S. Representative,"Soto, Darren",D,@RepDarrenSoto,@repdarrensoto,x
Florida 10th District,U.S. Representative,"Demings, Val",D,@Val_Demings,@chiefvaldemings,x
Florida 11th District,U.S. Representative,"Webster, Daniel",R,@RepWebster,@websterforcongress,x
Florida 12th District,U.S. Representative,"Bilirakis, Gus M.",R,@RepGusBilirakis,@gusbilirakis,x
Florida 13th District,U.S. Representative,"Crist, Charlie",D,@CharlieCrist,@charliecris,x
Florida 14th District,U.S. Representative,"Castor, Kathy",D,@USRepKCastor,@usrepkathycastor,x
Florida 15th District,U.S. Representative,"Spano, Ross",R,@RepRossSpano,@repspanofl15,x
Florida 16th District,U.S. Representative,"Buchanan, Vern",R,@VernBuchanan,@repvern,x
Florida 17th District,U.S. Representative,"Steube, W. Gregory",R,@RepGregSteube,@repgregsteube,x
Florida 18th District,U.S. Representative,"Mast, Brian",R,@BrianMastFL,@brianmastfl,x
Florida 19th District,U.S. Representative,"Rooney, Francis",R,@FrancisRooney,@repfrancisrooney,x
Florida 20th District,U.S. Representative,"Hastings, Alcee L.",D,@RepHastingsFL,,x
Florida 21st District,U.S. Representative,"Frankel, Lois",D,@RepLoisFrankel,@reploisfranke,x
Florida 22nd District,U.S. Representative,"Deutch, Ted",D,@RepTedDeutch,@repteddeutch,x
Florida 23rd District,U.S. Representative,"Wasserman Schultz, Debbie",D,@RepDWStweets,@repdws,x
Florida 24th District,U.S. Representative,"Wilson, Frederica",D,@RepWilson,@repwilson,x
Florida 25th District,U.S. Representative,"Diaz-Balart, Mario",R,@MarioDB,@repmariodb,x
Florida 26th District,U.S. Representative,"Mucarsel-Powell, Debbie",D,@RepDMP,@repdmp_,x
Florida 27th District,U.S. Representative,"Shalala, Donna E.",D,@RepShalala,@repshalala,x
Georgia,U.S. Senator,"Perdue, David",R,@sendavidperdue,@sendavidperdue,x
Georgia,U.S. Senator,"Loeffler, Kelly",R,@SenatorLoeffler,@kloefflerga,x
Georgia 1st District,U.S. Representative,"Carter, Buddy",R,@RepBuddyCarter,@repbuddycarter,x
Georgia 2nd District,U.S. Representative,"Bishop Jr., Sanford D.",D,@SanfordBishop,@repsanfordbishop,x
Georgia 3rd District,U.S. Representative,"Ferguson, Drew",R,@DrewFergusonGA,@repdrewferguson,x
Georgia 4th District,U.S. Representative,"Johnson, Henry C. “Hank” Jr.",D,@RepHankJohnson,@rephankjohnson,x
Georgia 5th District,U.S. Representative,"Lewis, John",D,@repjohnlewis,@repjohnlewis,x
Georgia 6th District,U.S. Representative,"McBath, Lucy",D,@RepLucyMcBath,@replucymcbath,x
Georgia 7th District,U.S. Representative,"Woodall, Robert",R,@RepRobWoodall,@reprobwoodall,x
Georgia 8th District,U.S. Representative,"Scott, Austin",R,@AustinScottGA08,,x
Georgia 9th District,U.S. Representative,"Collins, Doug",R,@RepDougCollins,@dougcollinsga,x
Georgia 10th District,U.S. Representative,"Hice, Jody",R,@CongressmanHice,@rep_hice,x
Georgia 11th District,U.S. Representative,"Loudermilk, Barry",R,@RepLoudermilk,@reploudermilk,x
Georgia 12th District,U.S. Representative,"Allen, Rick",R,@RepRickAllen,@rep_rickallen,x
Georgia 13th District,U.S. Representative,"Scott, David",D,@repdavidscott,@repdavidscott,x
Georgia 14th District,U.S. Representative,"Graves, Tom",R,@RepTomGraves,@reptomgraves,x
